,Time,Theta1,Theta2,Omega1,Omega2,Theta1_dot,Theta2_dot,Omega1_dot,Omega2_dot
0,0.0,1.176652485845522,2.9867570806801083,2.2996267900669447,1.8807410959626116,2.2996267900669447,1.8807410959626116,37.176918678500975,12.77699276955161
1,0.0005,1.1778069466362422,2.9876990406794204,2.318217968548879,1.8870876346675596,2.318217968548879,1.8870876346675596,37.187576975869476,12.608772494281135
2,0.001,1.1789707040713284,2.988644151628482,2.3368145432811565,1.893349758273771,2.3368145432811565,1.893349758273771,37.19813587712676,12.439072535448481
3,0.0015,1.1801437609024075,2.9895923713085915,2.3554164509741202,1.8995267167771472,2.3554164509741202,1.8995267167771472,37.208593345266614,12.267890756147398
4,0.002,1.1813261198439569,2.9905436571152735,2.3740236280219555,1.9056177596462864,2.3740236280219555,1.9056177596462864,37.218947359982664,12.095225034914398
5,0.0025,1.1825177835733036,2.9914979660582772,2.39263601050269,1.9116221358224843,2.39263601050269,1.9116221358224843,37.22919591839365,11.921073266207769
6,0.003,1.1837187547306254,2.992455254761578,2.4112535341781935,1.9175390937197332,2.4112535341781935,1.9175390937197332,37.23933703577588,11.745433360891685
7,0.0035,1.1849290359189502,2.993415479463376,2.4298761344941777,1.9233678812247226,2.4298761344941777,1.9233678812247226,37.249368746302885,11.568303246725504
8,0.004,1.1861486297041557,2.9943785960160954,2.448503746580197,1.9291077456968393,2.448503746580197,1.9291077456968393,37.259289103792206,11.389680868858248
9,0.0045000000000000005,1.1873775386149708,2.995344559886387,2.4671363052496464,1.9347579339681669,2.4671363052496464,1.9347579339681669,37.2690961824595,11.209564190328091
10,0.005,1.1886157651429734,2.996313326155126,2.485773744999765,1.9403176923434857,2.485773744999765,1.9403176923434857,37.27878807767977,11.02795119256707
11,0.0055,1.1898633117425925,2.997284849517413,2.504416000011632,1.9457862666002739,2.504416000011632,1.9457862666002739,37.288362906756014,10.84483987591076
12,0.006,1.1911201808311072,2.9982590842825743,2.5230630041501705,1.951162901988706,2.5230630041501705,1.951162901988706,37.297818809695,10.660228260112989
13,0.006500000000000001,1.1923863747886463,2.999235984374161,2.5417146909641444,1.956446843231654,2.5417146909641444,1.956446843231654,37.30715394999046,10.474114384865652
14,0.007,1.1936618959581897,3.0002155033299482,2.5603709936861603,1.9616373345246867,2.5603709936861603,1.9616373345246867,37.316366515413456,10.28649631032337
15,0.0075,1.1949467466455665,3.0011975943019387,2.579031845232667,1.9667336195360698,2.579031845232667,1.9667336195360698,37.32545471881027,10.097372117633201
16,0.008,1.1962409291194571,3.002182210056358,2.5976971782039544,1.9717349414067666,2.5976971782039544,1.9717349414067666,37.3344167989075,9.906739909469138
17,0.0085,1.1975444456113915,3.003169302973658,2.6163669248841557,1.976640542750437,2.6163669248841557,1.976640542750437,37.34325102112459,9.714597810571556
18,0.009000000000000001,1.1988572983157497,3.004158825048516,2.635041017241246,1.981449665653438,2.635041017241246,1.981449665653438,37.351955678393665,9.52094396829143
