,Theta1,Theta2,Omega1,Omega2,x1_true,y1_true,x2_true,y2_true,Theta1_pred,Theta2_pred,Omega1_pred,Omega2_pred,x1_pred,y1_pred,x2_pred,y2_pred
0,3.4450493,13.970366,-10.537559,-7.709094,-0.07969547,0.25451428,0.18330297,0.21023434,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
1,2.2716727,12.084893,-2.0533247,9.889295,0.20383275,0.17199156,0.08032688,-0.06438777,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
2,2.939246,30.527159,-10.486079,-6.0454307,0.053598356,0.2612587,-0.15343967,0.09313926,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
3,4.02405,5.735761,0.095733315,12.795031,-0.20597304,0.16942254,-0.3447876,-0.05830407,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
4,1.7639836,20.695232,-9.08111,18.250944,0.26173866,0.05120316,0.5184261,0.123593956,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
5,2.4654856,21.44812,-2.3495438,24.72483,0.16689053,0.2080299,0.30470276,0.43636447,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
6,1.4096423,15.545454,-5.122727,8.656102,0.2632443,-0.042793974,0.306395,0.2203921,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
7,3.8226166,15.622738,10.784334,-5.113119,-0.16791135,0.20720683,-0.14520925,0.47293884,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
8,2.295356,85.548805,-0.17793983,21.865831,0.19970264,0.17677031,0.022684038,0.37625292,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
9,4.909811,27.99931,0.4941392,12.44332,-0.2615195,-0.0523111,-0.18909167,0.20436594,-4.5044823,-4.5452595,6.1968403,-4.4661922,0.26095665,0.055050116,0.52394056,0.09941634
