,Time,Theta1,Theta2,Omega1,Omega2,Time,Theta1,Theta2,Omega1,Omega2
0,0.0,2.585877399467674,0.08205205902648882,0.0,0.0,0.0,2.6598683985620064,1.7629535387443787,0.0,0.0
1,0.001,2.5858921734628675,0.08207034514259666,0.029547906828668084,0.03657239754906351,0.001,2.659873016845328,1.7629742768011198,0.009236424666623251,0.04147619009454649
2,0.002,2.5859364949469374,0.08212520448263591,0.059094810498856225,0.07314677831598158,0.002,2.6598868708434362,1.7630364914309555,0.018471145650581795,0.08295329934715011
3,0.003,2.5860103624150113,0.08221664002127374,0.08863970751630806,0.1097251250734601,0.003,2.6599099580008625,1.7631401840125507,0.027702459368543635,0.12443224675041652
4,0.004,2.586113772934193,0.08234465602985672,0.1181815784116274,0.14630939832141424,0.004,2.6599422740784577,1.7632853567973186,0.03692866462168447,0.16591394811916255
5,0.005,2.5862467219370138,0.0825092577205108,0.1477193828184007,0.18290152905950996,0.005,2.659983813370135,1.763472012389925,0.04614808716257257,0.20739928416727982
6,0.006,2.586409205302343,0.08271045461428529,0.1772521337253823,0.21950352256879013,0.006,2.6600345681819193,1.7637001549449822,0.05535902305211604,0.24888917456800874
7,0.007,2.586601217940174,0.08294825828172109,0.20677884228626947,0.25611738184961635,0.007,2.6600945290240263,1.763969789757824,0.06455975839610019,0.29038455168359195
8,0.008,2.586822753689725,0.08322268217906349,0.2362985140017162,0.29274510230704065,0.008,2.660163684724309,1.7642809230057828,0.07374858164620864,0.33188634443712617
9,0.009000000000000001,2.587073805319443,0.08353374164826215,0.26581014871933273,0.3293886717508054,0.009000000000000001,2.6602420224282595,1.76463356174819,0.08292378360002334,0.37339547831256226
10,0.01,2.587354364527001,0.08388145391697105,0.29531274063368607,0.3660500703953433,0.01,2.6603295275990075,1.7650277139263768,0.09208365740102457,0.41491287535470533
11,0.011,2.5876644219392984,0.08426583809854855,0.3248052782862994,0.4027312708597774,0.011,2.660426184017323,1.765463388363673,0.10122649853859098,0.4564394541692147
12,0.012,2.588003967112462,0.08468691519205737,0.35428674456565284,0.4394342381679213,0.012,2.6605319737816124,1.765940594765407,0.11035060484799958,0.4979761299226041
13,0.013000000000000001,2.5883729885318463,0.08514470808226454,0.38375611670718257,0.4761609297482788,0.013000000000000001,2.660646877307923,1.7664593437189071,0.11945427651042559,0.5395238143422406
