,Time,x,y,z,x_pred,y_pred,z_pred
0,0.0,6.0221667,4.995373,6.34202,6.591848,4.4148912,7.618413
1,0.01,6.041756,6.346136,6.9230704,6.162538,6.502109,6.55694
2,0.02,6.240535,7.661184,7.600406,6.330403,7.791929,7.2561116
3,0.03,6.6552916,8.804314,6.696674,6.616069,8.978839,8.071375
4,0.04,7.207631,10.195789,8.107778,6.9819574,10.224474,7.304057
5,0.05,7.238198,11.11789,8.209798,7.6336465,11.54627,8.912092
6,0.06,7.3886533,12.705304,9.410803,7.7145863,12.429387,9.121429
7,0.07,8.28632,14.072271,9.599161,7.9120035,13.822571,10.455901
8,0.08,8.941901,15.45032,10.880266,8.903256,15.370966,10.876828
9,0.09,9.527062,16.385332,11.457933,9.592271,16.702923,12.32921
10,0.1,9.927046,17.48731,13.665162,10.220655,17.686749,13.053843
11,0.11,10.965814,19.495417,15.987854,10.64693,18.456226,15.276896
12,0.12,11.845638,20.529192,16.382704,11.771057,20.361986,17.789536
13,0.13,12.931332,21.295237,17.439814,12.671135,21.430496,18.47127
14,0.14,13.603236,22.706665,21.676414,13.789315,22.254852,19.787954
15,0.15,14.507799,22.980392,24.298822,14.4911,23.230997,24.109934
16,0.16,14.913558,23.379168,26.626638,15.27348,23.14632,26.877151
17,0.17,15.635837,22.911726,29.517815,15.648614,23.40144,29.109636
18,0.18,16.536608,22.40651,32.365765,16.227533,22.654821,31.906239
19,0.19,16.966892,20.744299,34.694305,16.946455,21.687614,34.855106
20,0.2,17.579342,19.122648,37.440823,17.06204,19.318195,37.0911
21,0.21,17.207455,17.37453,39.87162,17.517876,17.161385,39.637226
22,0.22,17.478725,14.92647,42.109135,17.143362,15.502425,41.482327
23,0.23,16.788977,12.299723,43.24771,17.150278,12.676962,43.26282
24,0.24,16.298077,9.392469,43.310574,16.171711,10.050941,43.76562
25,0.25,15.496046,7.251817,43.0352,15.556655,6.955169,43.461254
26,0.26,14.833581,4.97407,43.2753,14.682995,4.8879857,42.797024
27,0.27,13.546194,2.2430885,42.646236,13.95371,2.804768,42.7223
28,0.28,12.293759,0.71011513,40.277176,12.618326,0.43626067,41.85725
29,0.29,11.440718,-0.59259367,41.175842,11.337608,-0.92523,39.463306
30,0.3,10.110101,-2.5171165,39.646057,10.363395,-1.7645798,40.147305
