,Time,x,y,z,x_pred,y_pred,z_pred
0,0.0,5.3921604,3.8404908,18.471252,5.8440776,4.128383,20.690605
1,0.01,4.7391124,3.8298316,15.905565,5.186542,4.1936245,18.001036
2,0.02,4.15456,3.905618,13.541758,4.599639,4.355426,15.439512
3,0.03,3.6514108,4.0663786,11.432728,4.156445,4.596784,13.049161
4,0.04,3.2411942,4.3124175,9.615301,3.8231502,4.874339,10.9212055
5,0.05,2.933803,4.6457667,8.109861,3.5267482,5.270318,9.091895
6,0.06,2.737262,5.069874,6.921195,3.3558502,5.729172,7.5507493
7,0.07,2.6575332,5.589048,6.0404363,3.235519,6.161634,6.4196157
8,0.08,2.6983593,6.2076902,5.447894,3.2785923,6.72812,5.583553
9,0.09,2.8611517,6.929381,5.116495,3.4337249,7.379894,5.0759
10,0.1,3.1449263,7.755877,5.0155187,3.6874456,8.15569,4.85453
11,0.11,3.546286,8.686109,5.114276,4.0160713,9.031409,4.9037066
12,0.12,4.0594563,9.715247,5.3854256,4.4378333,10.0033245,5.156739
13,0.13,4.676369,10.833935,5.807618,4.9616632,11.069096,5.601078
14,0.14,5.386797,12.027729,6.3672657,5.5836334,12.219549,6.2214575
15,0.15,6.178534,13.276845,7.059281,6.2945776,13.437808,6.9946175
16,0.16,7.037618,14.556214,7.88675,7.0950055,14.706517,7.8952312
17,0.17,7.9485965,15.835901,8.859585,7.9523473,16.012537,8.923565
18,0.18,8.89482,17.081858,9.992294,8.862447,17.241596,10.10599
19,0.19,9.8587675,18.257011,11.301104,9.801703,18.390919,11.454486
20,0.2,10.822392,19.32263,12.8006935,10.755613,19.422113,13.013787
21,0.21,11.767475,20.239897,14.500884,11.687837,20.312572,14.764336
22,0.22,12.67599,20.971622,16.403566,12.56586,21.0411,16.698568
23,0.23,13.530464,21.483997,18.500208,13.366163,21.569168,18.778412
24,0.24,14.314323,21.748287,20.770166,14.159998,21.920164,20.877783
25,0.25,15.012229,21.742365,23.179993,14.876656,21.939127,23.156637
26,0.26,15.610374,21.452013,25.683838,15.501176,21.65416,25.53856
27,0.27,16.096764,20.87187,28.224955,16.042892,21.07409,27.98016
28,0.28,16.461445,20.006016,30.738207,16.425459,20.144728,30.446548
29,0.29,16.696692,18.868105,33.153404,16.6888,19.040735,32.781876
30,0.3,16.797152,17.481049,35.399235,16.774313,17.707888,35.014507
31,0.31,16.759935,15.876266,37.407455,16.6941,15.965348,37.162098
32,0.32,16.584652,14.092503,39.117054,16.555593,14.148625,38.91918
33,0.33,16.273392,12.1743145,40.478058,16.239164,12.23257,40.26997
34,0.34,15.830656,10.170254,41.454628,15.785564,10.203399,41.259224
35,0.35,15.263237,8.130868,42.02731,15.3030815,8.211706,41.88879
36,0.36,14.580047,6.1066194,42.194153,14.665516,6.1258574,42.183575
37,0.37,13.7919035,4.1458178,41.970703,13.94166,4.1543145,42.026188
38,0.38,12.9112835,2.2926824,41.38881,13.116922,2.2355545,41.52958
39,0.39,11.952026,0.58562577,40.4944,12.148002,0.38500676,40.74473
40,0.4,10.929034,-0.94415116,39.344353,11.097168,-1.1035014,39.595776
41,0.41,9.857933,-2.273688,38.002747,10.02597,-2.3590806,38.203735
42,0.42,8.754739,-3.388873,36.53676,8.915789,-3.4492662,36.843105
43,0.43,7.635506,-4.284608,35.012512,7.7861,-4.326121,35.324257
44,0.44,6.5159984,-4.9645324,33.49123,6.6202636,-4.983728,33.77376
45,0.45,5.4113545,-5.440339,32.02587,5.510924,-5.5232325,32.25752
46,0.46,4.335788,-5.730725,30.658588,4.432158,-5.890699,30.812712
47,0.47,3.3023045,-5.8600535,29.419083,3.4283357,-6.05602,29.520481
48,0.48,2.3224611,-5.856805,28.323963,2.475772,-6.055089,28.358309
