,Time,x,y,z,x_pred,y_pred,z_pred
0,0.0,6.2544436,5.113775,6.735144,6.23149,4.3506684,6.758457
1,0.01,6.207116,6.373873,6.9107404,6.2241516,5.5971627,7.114487
2,0.02,6.2829514,7.6115503,7.159467,6.3339663,6.994614,7.3543925
3,0.03,6.469066,8.846167,7.4884686,6.4759245,8.487618,7.610065
4,0.04,6.7554336,10.092675,7.9089713,6.7816396,9.839983,8.052344
5,0.05,7.1341844,11.361445,8.435726,7.147668,11.152477,8.607558
6,0.06,7.598947,12.65785,9.086586,7.6064,12.478787,9.276042
7,0.07,8.144201,13.9816065,9.882061,8.144573,13.823696,10.077653
8,0.08,8.764614,15.325851,10.844695,8.755902,15.18195,11.0327
9,0.09,9.454344,16.676023,11.998103,9.430317,16.54054,12.163235
10,0.1,10.2063,18.008646,13.36549,10.1552725,17.877724,13.491773
11,0.11,11.01135,19.290192,14.96749,10.940817,19.158,15.035698
12,0.12,11.857526,20.476362,16.8192,11.785515,20.333735,16.809275
13,0.13,12.7292595,21.512182,18.926386,12.658354,21.369398,18.855999
14,0.14,13.606769,22.333456,21.28105,13.568635,22.239454,21.128096
15,0.15,14.465725,22.870142,23.85684,14.416587,22.887526,23.577848
16,0.16,15.277389,23.052029,26.605139,15.237062,23.146921,26.257635
17,0.17,16.00938,22.816748,29.453028,16.076511,23.024563,29.062895
18,0.18,16.627235,22.119429,32.304485,16.689793,22.300755,31.959173
19,0.19,17.096743,20.942522,35.045864,17.115349,21.146748,34.736465
20,0.2,17.38693,19.303558,37.55596,17.380713,19.581861,37.166855
21,0.21,17.473293,17.258423,39.719563,17.477755,17.542076,39.28135
22,0.22,17.34074,14.898372,41.442135,17.321365,15.217609,41.085808
23,0.23,16.985647,12.340579,42.6623,16.91659,12.486183,42.405975
24,0.24,16.416578,9.713852,43.359062,16.39743,9.8349285,43.209328
25,0.25,15.653454,7.142703,43.552048,15.687898,7.371784,43.514927
26,0.26,14.72536,4.7333894,43.295097,14.737796,4.9928255,43.383324
27,0.27,13.667444,2.5646267,42.665306,13.762381,2.708987,42.82746
28,0.28,12.517504,0.68410164,41.7505,12.649553,0.71736085,41.999878
